R_Thumb_flexion,R_Rot_Thumb_tip_w,R_Rot_Thumb_tip_x,R_Rot_Thumb_tip_y,R_Rot_Thumb_tip_z,R_Rot_Thumb_jt2_w,R_Rot_Thumb_jt2_x,R_Rot_Thumb_jt2_y,R_Rot_Thumb_jt2_z,R_Rot_Thumb_jt1_w,R_Rot_Thumb_jt1_x,R_Rot_Thumb_jt1_y,R_Rot_Thumb_jt1_z,R_Rot_Thumb_base_w,R_Rot_Thumb_base_x,R_Rot_Thumb_base_y,R_Rot_Thumb_base_z,R_Index_flexion,R_Rot_Index_tip_w,R_Rot_Index_tip_x,R_Rot_Index_tip_y,R_Rot_Index_tip_z,R_Rot_Index_jt2_w,R_Rot_Index_jt2_x,R_Rot_Index_jt2_y,R_Rot_Index_jt2_z,R_Rot_Index_jt1_w,R_Rot_Index_jt1_x,R_Rot_Index_jt1_y,R_Rot_Index_jt1_z,R_Rot_Index_base_w,R_Rot_Index_base_x,R_Rot_Index_base_y,R_Rot_Index_base_z,R_Middle_flexion,R_Rot_Middle_tip_w,R_Rot_Middle_tip_x,R_Rot_Middle_tip_y,R_Rot_Middle_tip_z,R_Rot_Middle_jt2_w,R_Rot_Middle_jt2_x,R_Rot_Middle_jt2_y,R_Rot_Middle_jt2_z,R_Rot_Middle_jt1_w,R_Rot_Middle_jt1_x,R_Rot_Middle_jt1_y,R_Rot_Middle_jt1_z,R_Rot_Middle_base_w,R_Rot_Middle_base_x,R_Rot_Middle_base_y,R_Rot_Middle_base_z,R_Ring_flexion,R_Rot_Ring_tip_w,R_Rot_Ring_tip_x,R_Rot_Ring_tip_y,R_Rot_Ring_tip_z,R_Rot_Ring_jt2_w,R_Rot_Ring_jt2_x,R_Rot_Ring_jt2_y,R_Rot_Ring_jt2_z,R_Rot_Ring_jt1_w,R_Rot_Ring_jt1_x,R_Rot_Ring_jt1_y,R_Rot_Ring_jt1_z,R_Rot_Ring_base_w,R_Rot_Ring_base_x,R_Rot_Ring_base_y,R_Rot_Ring_base_z,R_Pingky_flexion,R_Rot_Pingky_tip_w,R_Rot_Pingky_tip_x,R_Rot_Pingky_tip_y,R_Rot_Pingky_tip_z,R_Rot_Pingky_jt2_w,R_Rot_Pingky_jt2_x,R_Rot_Pingky_jt2_y,R_Rot_Pingky_jt2_z,R_Rot_Pingky_jt1_w,R_Rot_Pingky_jt1_x,R_Rot_Pingky_jt1_y,R_Rot_Pingky_jt1_z,R_Rot_Pingky_base_w,R_Rot_Pingky_base_x,R_Rot_Pingky_base_y,R_Rot_Pingky_base_z,L_Thumb_flexion,L_Rot_Thumb_tip_w,L_Rot_Thumb_tip_x,L_Rot_Thumb_tip_y,L_Rot_Thumb_tip_z,L_Rot_Thumb_jt2_w,L_Rot_Thumb_jt2_x,L_Rot_Thumb_jt2_y,L_Rot_Thumb_jt2_z,L_Rot_Thumb_jt1_w,L_Rot_Thumb_jt1_x,L_Rot_Thumb_jt1_y,L_Rot_Thumb_jt1_z,L_Rot_Thumb_base_w,L_Rot_Thumb_base_x,L_Rot_Thumb_base_y,L_Rot_Thumb_base_z,L_Index_flexion,L_Rot_Index_tip_w,L_Rot_Index_tip_x,L_Rot_Index_tip_y,L_Rot_Index_tip_z,L_Rot_Index_jt2_w,L_Rot_Index_jt2_x,L_Rot_Index_jt2_y,L_Rot_Index_jt2_z,L_Rot_Index_jt1_w,L_Rot_Index_jt1_x,L_Rot_Index_jt1_y,L_Rot_Index_jt1_z,L_Rot_Index_base_w,L_Rot_Index_base_x,L_Rot_Index_base_y,L_Rot_Index_base_z,L_Middle_flexion,L_Rot_Middle_tip_w,L_Rot_Middle_tip_x,L_Rot_Middle_tip_y,L_Rot_Middle_tip_z,L_Rot_Middle_jt2_w,L_Rot_Middle_jt2_x,L_Rot_Middle_jt2_y,L_Rot_Middle_jt2_z,L_Rot_Middle_jt1_w,L_Rot_Middle_jt1_x,L_Rot_Middle_jt1_y,L_Rot_Middle_jt1_z,L_Rot_Middle_base_w,L_Rot_Middle_base_x,L_Rot_Middle_base_y,L_Rot_Middle_base_z,L_Ring_flexion,L_Rot_Ring_tip_w,L_Rot_Ring_tip_x,L_Rot_Ring_tip_y,L_Rot_Ring_tip_z,L_Rot_Ring_jt2_w,L_Rot_Ring_jt2_x,L_Rot_Ring_jt2_y,L_Rot_Ring_jt2_z,L_Rot_Ring_jt1_w,L_Rot_Ring_jt1_x,L_Rot_Ring_jt1_y,L_Rot_Ring_jt1_z,L_Rot_Ring_base_w,L_Rot_Ring_base_x,L_Rot_Ring_base_y,L_Rot_Ring_base_z,L_Pingky_flexion,L_Rot_Pingky_tip_w,L_Rot_Pingky_tip_x,L_Rot_Pingky_tip_y,L_Rot_Pingky_tip_z,L_Rot_Pingky_jt2_w,L_Rot_Pingky_jt2_x,L_Rot_Pingky_jt2_y,L_Rot_Pingky_jt2_z,L_Rot_Pingky_jt1_w,L_Rot_Pingky_jt1_x,L_Rot_Pingky_jt1_y,L_Rot_Pingky_jt1_z,L_Rot_Pingky_base_w,L_Rot_Pingky_base_x,L_Rot_Pingky_base_y,L_Rot_Pingky_base_z,label
0,0.663,-0.606,0.184,0.399,0.532,-0.795,-0.006,0.291,-0.113,0.95,0.178,-0.23,0.081,0.853,0.514,0.036,0,0.822,0.565,-0.044,0.06,0.992,0.102,-0.067,0.031,0.751,-0.656,-0.069,-0.028,0.06,0.988,0.123,0.066,0,0.975,0.211,-0.076,0.001,0.99,0.115,-0.075,-0.007,0.76,-0.646,-0.047,-0.06,0.049,0.996,-0.024,0.074,0,0.846,0.528,-0.062,0.038,0.991,0.11,-0.072,0.007,0.759,-0.647,-0.055,-0.048,0.039,0.984,-0.154,0.079,0,0.922,0.148,-0.249,-0.257,0.932,0.06,-0.223,-0.279,0.733,-0.579,0.021,-0.357,0.025,0.942,-0.323,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
14,0.518,-0.673,-0.072,0.523,-0.422,0.775,0.29,-0.369,-0.391,0.791,0.309,-0.355,-0.229,0.773,0.587,0.076,4,0.948,0.202,0.007,0.247,0.961,0.126,-0.013,0.247,0.891,-0.381,-0.137,0.206,-0.24,0.945,0.222,-0.024,0,0.971,0.2,0.044,0.124,0.971,0.2,0.044,0.124,0.908,-0.399,-0.036,0.127,-0.234,0.967,0.08,-0.059,0,0.81,0.58,0.068,-0.056,0.991,0.098,0.086,-0.014,0.907,-0.411,0.082,0.031,-0.224,0.969,-0.047,-0.089,4,0.985,0.163,-0.051,0.004,0.97,-0.239,-0.049,-0.016,0.915,-0.4,-0.045,-0.024,-0.205,0.947,-0.214,-0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
16,-0.302,0.873,0.146,-0.353,-0.053,0.901,0.391,-0.18,-0.102,0.899,0.375,-0.202,0.14,0.706,0.675,0.164,0,0.816,0.463,-0.028,0.345,0.938,0.003,-0.194,0.287,0.691,-0.635,-0.337,0.079,0.061,0.919,0.33,0.206,0,0.951,0.155,-0.18,0.2,0.952,-0.146,-0.233,0.134,0.542,-0.796,-0.257,-0.079,0.03,0.958,0.19,0.213,0,0.948,0.223,-0.192,0.123,0.973,-0.03,-0.217,0.069,0.662,-0.714,-0.201,-0.106,0.002,0.975,0.063,0.215,0,0.873,0.374,-0.278,0.143,0.949,0.047,-0.31,0.037,0.722,-0.618,-0.251,-0.186,-0.036,0.971,-0.107,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
13,-0.27,0.893,0.136,-0.333,-0.058,0.909,0.366,-0.188,-0.016,0.909,0.379,-0.171,0.185,0.689,0.685,0.148,0,0.851,0.455,-0.131,0.226,0.965,-0.031,-0.227,0.13,0.73,-0.632,-0.258,-0.042,0.109,0.908,0.346,0.21,0,0.878,0.387,-0.124,0.253,0.954,-0.104,-0.234,0.157,0.574,-0.769,-0.274,-0.064,0.077,0.949,0.208,0.224,0,0.965,0.044,-0.217,0.141,0.965,-0.042,-0.229,0.121,0.632,-0.731,-0.245,-0.083,0.047,0.968,0.082,0.232,0,0.925,0.164,-0.31,0.145,0.937,0.06,-0.325,0.11,0.693,-0.634,-0.304,-0.158,0.006,0.968,-0.087,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
13,-0.337,0.867,0.112,-0.349,-0.063,0.914,0.362,-0.174,0.01,0.913,0.382,-0.143,0.208,0.687,0.68,0.151,0,0.902,0.334,-0.173,0.213,0.961,-0.03,-0.241,0.132,0.715,-0.643,-0.269,-0.054,0.129,0.904,0.342,0.222,0,0.909,0.297,-0.159,0.247,0.949,-0.118,-0.248,0.156,0.561,-0.774,-0.283,-0.075,0.095,0.945,0.204,0.239,0,0.957,0.118,-0.225,0.141,0.963,-0.047,-0.246,0.1,0.623,-0.736,-0.241,-0.112,0.063,0.963,0.079,0.249,0,0.901,0.253,-0.322,0.147,0.932,0.074,-0.344,0.082,0.691,-0.63,-0.295,-0.195,0.018,0.962,-0.089,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
20,-0.2,0.93,0.155,-0.265,-0.001,0.92,0.366,-0.142,0.008,0.919,0.368,-0.139,0.22,0.684,0.675,0.17,0,0.895,0.335,-0.194,0.221,0.956,-0.022,-0.262,0.133,0.696,-0.655,-0.284,-0.076,0.132,0.899,0.339,0.244,0,0.896,0.315,-0.172,0.26,0.94,-0.135,-0.273,0.151,0.542,-0.78,-0.297,-0.097,0.094,0.939,0.202,0.261,0,0.947,0.151,-0.244,0.148,0.956,-0.064,-0.271,0.09,0.606,-0.743,-0.25,-0.136,0.059,0.958,0.078,0.271,0,0.881,0.297,-0.337,0.151,0.927,0.066,-0.364,0.061,0.681,-0.633,-0.293,-0.225,0.011,0.956,-0.09,0.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
20,-0.247,0.907,0.135,-0.312,0.017,0.914,0.375,-0.153,0.018,0.914,0.375,-0.153,0.229,0.675,0.684,0.156,0,0.897,0.329,-0.181,0.232,0.954,-0.054,-0.258,0.141,0.688,-0.663,-0.287,-0.062,0.146,0.895,0.35,0.235,0,0.908,0.278,-0.169,0.263,0.937,-0.154,-0.268,0.16,0.527,-0.791,-0.3,-0.087,0.109,0.937,0.214,0.254,0,0.955,0.094,-0.246,0.135,0.944,-0.173,-0.274,0.062,0.517,-0.808,-0.233,-0.158,0.075,0.957,0.09,0.266,0,0.909,0.212,-0.342,0.112,0.932,-0.044,-0.36,0.014,0.662,-0.658,-0.276,-0.231,0.028,0.958,-0.077,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
13,-0.1,0.95,0.171,-0.242,-0.037,0.92,0.343,-0.187,0.003,0.919,0.355,-0.172,0.228,0.689,0.673,0.144,0,0.891,0.355,-0.163,0.231,0.955,-0.09,-0.251,0.131,0.674,-0.682,-0.277,-0.06,0.15,0.903,0.334,0.225,0,0.887,0.355,-0.145,0.257,0.947,-0.126,-0.252,0.153,0.561,-0.774,-0.285,-0.078,0.115,0.942,0.197,0.244,0,0.955,0.114,-0.227,0.154,0.955,-0.11,-0.256,0.097,0.604,-0.748,-0.251,-0.11,0.082,0.96,0.073,0.257,0,0.912,0.194,-0.332,0.14,0.929,-0.081,-0.359,0.036,0.667,-0.652,-0.3,-0.199,0.036,0.958,-0.095,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
13,-0.115,0.948,0.165,-0.245,-0.037,0.921,0.342,-0.183,0.009,0.92,0.356,-0.165,0.236,0.69,0.67,0.143,0,0.889,0.356,-0.16,0.239,0.953,-0.093,-0.252,0.139,0.684,-0.671,-0.284,-0.05,0.157,0.902,0.331,0.226,0,0.884,0.358,-0.141,0.263,0.946,-0.122,-0.253,0.16,0.569,-0.766,-0.29,-0.071,0.122,0.941,0.194,0.247,0,0.956,0.095,-0.23,0.157,0.956,-0.091,-0.256,0.109,0.601,-0.749,-0.257,-0.108,0.089,0.959,0.07,0.261,0,0.911,0.187,-0.333,0.153,0.927,-0.079,-0.363,0.053,0.662,-0.654,-0.313,-0.192,0.042,0.956,-0.098,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
13,-0.17,0.938,0.126,-0.274,-0.02,0.927,0.329,-0.181,0.027,0.925,0.342,-0.164,0.254,0.694,0.661,0.13,0,0.924,0.251,-0.18,0.224,0.954,-0.091,-0.247,0.146,0.655,-0.699,-0.282,-0.054,0.179,0.903,0.321,0.222,0,0.917,0.264,-0.159,0.252,0.944,-0.143,-0.249,0.163,0.54,-0.788,-0.289,-0.071,0.145,0.941,0.184,0.246,0,0.957,0.092,-0.23,0.151,0.956,-0.1,-0.256,0.103,0.588,-0.76,-0.251,-0.114,0.111,0.957,0.06,0.263,0,0.931,0.087,-0.341,0.1,0.933,-0.062,-0.352,0.045,0.607,-0.711,-0.278,-0.221,0.064,0.952,-0.107,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rock
